요구사항 ID,대분류,중분류,소분류,설명,기타,우선순위
FR-LND-001,렌딩페이지,"서비스 소개 ","서비스/어플 소개 ",사용자는 서비스의 목적과 주요 기능을 소개 페이지에서 확인할 수 있다.,,중간
FR-LND-002,렌딩페이지,콘텐츠 추천,Explore Seoul 콘텐츠 추천,"사용자는 로그인 이전에도 여행 콘텐츠 및 추천 정보를 확인할 수 있다. ",,중간
FR-LND-003,렌딩페이지,"콘텐츠 추천 ",추천 여행 동선 리뷰 제공,"사용자는 추천 여행 동선 리뷰 및 콘텐츠를 확인할 수 있다. ",,낮음
FR-LND-004,렌딩페이지,여행 계획,여행 계획 생성 기능,"사용자는 랜딩페이지에서 여행 계획 생성 기능으로 이동할 수 있다. ",,높음
FR-LND-005,렌딩페이지,"챗봇 이동 ","챗봇 또는 홈페이 기능 ","사용자는 여행 계획 또는 추천 캄색 후 챗봇 페이지로 이동할 수 있다. ",,높음
FR-AUTH-001,사용자 관리,접근 제어,로그인 페이지 이동,"사용자는 로그인하지 않은 상태에서 서비스 주요 기능을 선택할 경우 로그인 또는 회원가입 페이지로 이동할 수 있다. ",,높음
FR-AUTH-002,사용자 관리,로그인,Google 소셜 로그인,사용자는 Google 계정을 이용하여 간편 로그인(소셜 로그인)을 할 수 있다.,,높음
FR-AUTH-003,사용자 관리,로그인,Google 소셜 로그인,사용자는 로그아웃 후 다시 로그인을 진행할 수 있다.,,높음
FR-AUTH-004,사용자 관리,로그아웃,로그아웃,"사용자는 로그아웃 기능을 통해 현재 로그인 세션을 종료할 수 있다. ",,높음
FR-AUTH-005,사용자 관리,회원가입,Google 소셜 회원가입,사용자는 Google 계정을 이용하여 회원가입을 진행할 수 있다.,,높음
FR-AUTH-006,사용자 관리,회원가입,기본 사용자 정보 입력,"사용자는 회원가입 과정에서 닉네임, 국가, 선호 언어 등 기본 사용자 정보를 설정할 수 있다.",,높음
FR-PREF-001,사용자 관리,사용자 설정,여행 선호도 조사,"사용자는 회원가입 완료 후 여행 일정 스타일, 여행 스타일, 여행 관심사 등 여행 선호도를 설정할 수 있다.",,높음
FR-PREF-002,사용자 관리,추천 연동,선호도 기반 추천,사용자는 설정한 여행 선호도 정보를 기반으로 챗봇 추천 및 여행 추천 결과를 제공받을 수 있다.,,높음
FR-REC-001,상품 탐색,"사용자 요구사항 ",사용자 맞춤 여행지 추천 (Your Choices),"사용자의 선호도 와 특이사항을 기반으로 , 식당,  관광지,  인기 명소 등  여행지를 추천할수 있다.",,높음
FR-REC-002,상품 탐색,사용자 요구사항,최신 여행 정보 제공 (Hot Places),"사용자는 추천 장소에 대해 최신 데이터 기반의 관광지, 식당, 명소 등의 운영 정보 및 트렌드를 확인할 수 있다.",,높음
FR-EVT-001,홈메뉴,이벤트/전시 콘텐츠,Contents: Events & Exhibition,"사용자는 선택한 이벤트에 대해 일정, 장소, 운영시간, 가격(유/무료), 주최/주관, 안내사항 등 상세 정보를 확인할 수 있다.",,높음
FR-EVT002,홈메뉴,이벤트/전시 콘텐츠,"Contents: Events & Exhibition
","사용자는 이벤트 일정 변경(일정, 장소, 취소, 매진 등)이 반영된 최신 이벤트 정보를 확인할 수 있다.",,중간
FR-EVT-003,홈메뉴,"홈메뉴 (Home) ",Contents: Events & Exhibition,사용자는 사전 예약이 가능한 이벤트의 경우 예약 페이지로 이동하거나 예약 절차를 진행할 수 있다.,,중간
FR-ROUTE-001,동선 추천,경로 추천,"최적 동선 추천
","사용자는 추천된 장소들을 기반으로 자신의 조건(선호도, 여행 특이사항, 대화 내용)을 고려한 최적 방문 동선을 추천받을 수 있다.",,중간
FR-ROUTE-002,동선 추천,"경로 옵션 ","동선 옵션 제공
","사용자는 이동 수단(도보, 대중교통, 택시 등) 또는 시간 및 거리 기준에 따라 하나 이상의 동선 옵션을 제공받을 수 있다.",,중간
FR-DIARY-001,다이어리,사용자 기능,일기 생성 버튼,사용자는 일기 작성 버튼을 선택하여 일기 작성 화면 또는 팝업을 표시할 수 있다.,부가기능,낮음
FR-DIARY-002,다이어리,사용자 기능,일기 작성/수정 팝업,사용자는 신규 일기를 작성하거나 기존 일기를 수정할 수 있다.,부가기능,낮음
FR-DIARY-003,다이어리,사용자 기능,일기 정보 입력 필드,"사용자는 일기 작성 시 제목, 작성 날짜, 위치 정보를 입력할 수 있다.",부가기능,낮음
FR-DIARY-004,다이어리,사용자 기능,일기 저장,사용자는 입력한 정보를 기반으로 일기 데이터를 저장할 수 있다.,부가기능,낮음
FR-DIARY-005,다이어리,사용자 기능,일기 검색,사용자는 작성한 일기를 제목 또는 위치 기준으로 검색할 수 있다.,부가기능,낮음
FR-DIARY-006,다이어리,사용자 기능,일기 삭제,사용자는 작성한 일기를 삭제할 수 있으며 삭제된 일기는 목록에서 제거된다.,부가기능,낮음
FR-DIARY-007,다이어리,사용자 기능,사진 업로드,사용자는 일기 작성 시 사진 파일을 업로드할 수 있다.,,
FR-MEM-008,마이페이지,프로필 관리,"유저 프로필 정보 표시
","사용자는 MyPage 대시보드에서 기본 프로필 정보(닉네임, 프로필 사진, 가입 이메일 등)를 확인할 수 있다.",,높음
FR-MEM-009,마이페이지,추천 정보,"Travel Preference 기반 추천 표시
",사용자는 Travel Preference 데이터를 기반으로 추천된 여행 동선 및 여행 상품 정보를 확인할 수 있다.,,높음
FR-MEM-010,마이페이지,"설정 관리 ","Travel Preference 수정 ",사용자는 Settings 메뉴에서 Travel Preference 설정 화면으로 다시 진입하여 선호도를 수정할 수 있다.,,높음
FR-MEM-011,마이페이지,추천 정보,"Today's Recommendation 표시
",사용자는 최근 챗봇 대화 내역 및 추천 결과를 기반으로 개인화된 추천 여행 정보를 확인할 수 있다.,,높음
FR-MEM-012,마이페이지,챗봇 연동,"Start Planning 챗봇 이동 및 대화 
",사용자는 Start Planning 버튼을 선택하여 챗봇 화면으로 이동하고 추천 항목을 기반으로 대화를 시작할 수 있다.,,중간
FR-MEM-013,마이페이지,예약관리,"예약 정보 분석 및 표시  ",사용자는 예약 내역 파일을 업로드하여 예약 정보를 등록할 수 있다.,,높음
FR-MEM-014,마이페이지,예약관리,예약 내역 업로드,사용자는 예약 내역 파일을 업로드할 수 있다.,,높음
FR-MEM-015,마이페이지,예약관리,"예약 내역 삭제
",사용자는 Reservation 화면에서 저장된 예약 내역을 삭제할 수 있다.,,높음
FR-MEM-016,마이페이지,예약관리,예약 항목 이름 설정,사용자는 예약 내역에 대해 사용자 정의 이름을 입력하거나 수정할 수 있다.,,높음
FR-BMK-001,북마크,"대화 북마크 ",대화 내역 북마크 조회,사용자는 북마크로 저장한 챗봇 대화 내역을 북마크 목록에서 확인할 수 있다.,,높음
FR-BMK-002,북마크,"대화 북마크 ","대화 북마크 상세 보기 ",사용자는 특정 대화 북마크를 선택하여 채팅 페이지에서 해당 대화를 확인할 수 있다.,,높음
FR-BMK-003,북마크,장소 북마크,북마크 장소 조회,사용자는 북마크로 저장한 추천 장소 목록을 확인할 수 있다.,,높음
FR-BMK-004,북마크,"장소 북마크 ",북마크 장소 상세 표시,사용자는 카드 형태로 표시된 북마크 장소의 이미지와 장소 정보를 확인할 수 있다.,,중간
FR-BMK-005,북마크,"장소 북마크 ",장소 북마크 선택,사용자는 북마크된 장소를 선택하여 해당 장소 정보를 확인할 수 있다.,,높음
FR-BMK-006,북마크,"장소 북마크 ",장소 북마크 취소,사용자는 북마크된 장소를 다시 선택하여 북마크를 해제할 수 있다.,,높음
FR-BMK-007,북마크,페이지 이동,채팅 페이지 이동,사용자는 북마크된 대화 또는 장소를 선택하여 해당 채팅 페이지로 이동할 수 있다.,,높음
FR-BMK-008,북마크,UI 인터랙션,북마크 탭 전환,사용자는 북마크된 대화 또는 장소를 선택하여 해당 채팅 페이지로 이동할 수 있다.,,중간
FR-BMK-009,북마크,UI 인터랙션,북마크 선택 상태 표시,사용자는 선택된 북마크 항목을 UI 스타일을 통해 시각적으로 구분하여 확인할 수 있다.,,낮음
FR-MEM-019,마이페이지,프로필 관리,"프로필 이미지 변경
",사용자는 Settings 메뉴에서 프로필 이미지를 업로드하거나 변경할 수 있다.,,중간
FR-MEM-020,마이페이지,프로필 관리,"닉네임 변경
",사용자는 Settings 메뉴에서 Google 계정 이름을 Nickname 또는 Username으로 수정할 수 있다.,,중간
FR-MEM-021,마이페이지,프로필 관리,"국가 정보 변경
",사용자는 Settings 메뉴에서 국가 정보를 수정하거나 재설정할 수 있다.,,중간
FR-MEM-022,마이페이지,"프로필 관리 ","회원 탈퇴
",사용자는 Google 계정 기반 계정 탈퇴를 진행할 수 있으며 탈퇴 시 개인정보 삭제 및 탈퇴 사유 입력을 진행할 수 있다.,,중간
FR-MEM-023,마이페이지,"프로필 관리 ","여행 스타일 선호도 설정 
","사용자는 여행 일정 방식(Travel Schedule), 여행 스타일(Travel Vibe), 여행 관심사(Travel Interest)를 설정할 수 있다.",,높음
FR-MEM-024,마이페이지,"프로필 관리 ","여행 특이사항 설정
","사용자는 여행 특이사항(예: 종교, 장애 여부, 유아 동반, 채식주의 등)을 설정할 수 있다.",,높음
FR-REC-008,보류,일정 계획,"여행 일정 관리 및 최적화
",사용자는 추천된 장소 및 경로 정보를 기반으로 여행 일정을 생성하거나 제안받을 수 있다.,,중간
FR-RESV-001,챗봇,"예약 제시 ","실시간 예약 지원
",사용자는 동의할 경우 개인 캘린더(예: Google Calendar)에 일정을 등록할 수 있다.,,중간
NFR-PERF-001,챗봇,"성능 ",응답 속도,"시스템은 이미지 분석 및 추천 결과를 5초 이내에 사용자에게  제공해야 한다. ",,높음
NFR-PERF-002,챗봇,"성능 ","대화 응답 시간
",사용자는 챗봇 응답을 10초 이내에 제공받을 수 있다.,,높음
NFR-REC-001,챗봇,"추천 품질 ","개인화 추천 ","사용자는 자신의 여행 선호도, 여행 특이사항 및 챗봇 대화 내역을 기반으로 개인화된 여행 추천 정보를 제공받을 수 있다.",,높음
NFR-REC-002,챗봇,"응답 품질 ","답변 정확도 ",사용자는 챗봇을 통해 여행 관련 질문에 대해 정확하고 관련성 높은 답변을 받을 수 있다.,,높음
NFR-REC-003,챗봇,"응답 품질 ",장소 저장,사용자는 챗봇 응답에서 추천된 특정 장소와 해당 장소와 관련된 대화 내용을 북마크로 저장할 수 있다.,,높음
NFR-REC-004,챗봇,"추천 품질 ","장소 추천 ",사용자는 챗봇 응답에 포함된 추천 장소 정보를 카드 형태로 확인할 수 있다.,,높음
FR-MAP-001,챗봇,지도 서비스,"지도 표시 ",사용자는 챗봇 인터페이스 옆에 표시되는 실시간 지도에서 추천 장소 위치를 확인할 수 있다.,,높음
FR-MAP-002,챗봇,지도 서비스,"위치 표시 ",사용자는 챗봇이 추천한 장소를 지도 마커 형태로 확인할 수 있다.,,높음
FR-MAP-003,챗봇,지도 서비스,"경로 표시 ",사용자는 추천된 여행 동선을 지도 경로 형태로 확인할 수 있다.,,높음
FR-MAP-004,챗봇,"지도 서비스 ",지도 접기/펼치기,사용자는 버튼을 통해 지도 화면을 접거나 펼칠 수 있다.,,중간
FR-CHAT-005,챗봇,"챗봇서비스 ",음성 입력,사용자는 마이크 버튼을 통해 음성으로 여행 질문을 입력할 수 있다.,,높음
FR-CHAT-006,챗봇,"챗봇서비스 ",음성 인식,사용자는 음성 입력을 텍스트(STT)로 변환하여 챗봇 질문으로 사용할 수 있다.,,높음
FR-CHAT-007,챗봇,"챗봇서비스 ","상태 표시 ","사용자는 음성 입력 상태(녹음 중, 처리 중, 오류 등)를 시각적으로 확인할 수 있다.",,높음
FR-CHAT-008,챗봇,"챗봇서비스 ","음성 출력 ",사용자는 챗봇 텍스트 답변을 음성(TTS)으로 들을 수 있다.,,높음
FR-CHAT-009,챗봇,"챗봇서비스 ",음성 제어,"사용자는 음성 응답을 재생, 일시정지, 중지할 수 있다.",,중간
FR-CHAT-010,챗봇,여행 정보 입력,여행 날짜 선택,사용자는 챗봇 대화를 시작하기 전에 여행 시작일과 종료일을 선택할 수 있다.,,높음
FR-CHAT-011,챗봇,여행 정보 입력,여행 기간 설정,사용자는 달력 UI를 통해 여행 기간을 선택하거나 수정할 수 있다.,,높음
FR-CHAT-012,챗봇,여행 정보 입력,여행 인원 설정,사용자는 성인 및 어린이 인원 수를 선택하여 여행 인원 정보를 입력할 수 있다.,,높음
FR-CHAT-013,챗봇,여행 정보 입력,여행 정보 수정,사용자는 입력한 여행 날짜 및 인원 정보를 수정할 수 있다.,,중간
FR-CHAT-014,챗봇,대화 시작,"챗봇 대화 시작 ",사용자는 입력한 여행 정보를 기반으로 채팅 시작하기 버튼을 선택하여 챗봇 대화를 시작할 수 있다.,,높음
FR-CHAT-015,챗봇,여행 추천,사용자 정보 기반 국내 여행지 추천,"사용자는 자신의 선호도, 특이사항 및 챗봇 대화 내역을 기반으로 국내 여행지를 추천받을 수 있다.",,높음
FR-CHAT-016,챗봇,여행 추천,사용자 정보 기반 국내 여행지 추천,사용자는 입력한 여행 날짜와 인원 정보를 추천 결과에 반영하여 확인할 수 있다.,,중간
FR-CHAT-017,챗봇,동선 추천,사용자 정보 기반 여행 동선 추천,"사용자는 자신의 선호도, 특이사항 및 챗봇 대화 내역을 기반으로 적합한 여행 동선을 추천받을 수 있다.",,높음
FR-CHAT-019,챗봇,동선 추천,사용자 정보 기반 여행 동선 추천,사용자는 추천된 장소를 기반으로 경로 및 관련 상품 정보를 함께 제공받을 수 있다.,,높음
FR-CHAT-020,챗봇,대화 시작,Skip 기능,사용자는 여행 정보 입력 단계를 건너뛰고 바로 챗봇 대화를 시작할 수 있다.,,낮음
FR-CHAT-021,챗봇,UI 기능,모달 종료,사용자는 닫기 버튼을 통해 여행 정보 입력 모달을 종료할 수 있다.,,중간
NFR-SYS-001,서버,트래픽,동시 사용자 지원,사용자는 최소 1000명 이상의 동시 사용자 환경에서도 안정적인 서비스를 이용할 수 있다.,,중간
NFR-SYS-002,서버,보안,HTTPS 통신,사용자는 HTTPS 기반의 안전한 네트워크 환경에서 서비스를 이용할 수 있다.,,높음
NFR-SYS-003,서버,"시스템 구조 ",수평 확장 구조,사용자는 확장 가능한 서버 환경(Docker 기반)을 통해 안정적인 서비스를 이용할 수 있다.,,중간
NFR-RES-001,응답,답변,이미지 분석 응답 시간 (1),이미지 분석 및 추천 결과는 5초 이내 제공,,높음
NFR-RES-002,응답,답변,대화 응답 시간 (1),대화 응답 시간은 3초 이내,,높음
NFR-DES-001,디자인,화면,직관적인 UI/UX,"사용자는 주요 기능(챗봇, 추천 장소, 북마크 등)에 쉽게 접근할 수 있는 직관적인 UI를 사용할 수 있다.",,중간
NFR-DES-003,디자인,"화면 ",지도 UI / 지도시각화,사용자는 지도 기반 시각화를 통해 추천 장소와 동선의 위치 관계를 쉽게 이해할 수 있다.,,중간
NFR-DES-004,디자인,인터랙션,사용자 피드백,사용자는 북마크 저장 및 추천 생성 등 주요 액션에 대한 시각적 피드백을 확인할 수 있다.,,중간
NFR-DES-005,디자인,디자인 시스템,UI 일관성,사용자는 전체 서비스에서 일관된 디자인 스타일을 경험할 수 있다.,,중간